id,name,code,supplier_code,sale_price,total_base_price,total_sale_price,vat,currency,quantity,brand,category,category_id,category_path,model,url,image,variant1,variant2,subproduct_code,subproduct_id,personalization_id
39248,Sevimli Heyvan Sürpriz Oyuncaq (382-9) ,T39248,043642,12,12,12,0,AZN,285,,Heyvan fiqurları,230,Supertoys > Kataloq > Oyuncaqlar > Fiqurlar >,,sevimli-heyvan-surpriz-oyuncaq-382-9,https://www.supertoys.az/sevimli-heyvan-surpriz-oyuncaq-382-9-heyvan-fiqurlari-35392-39-O.jpg,,,,0,
39247,Dəmir Maşın Formula 1 (418-15),T39247,043614,63,63,63,0,AZN,73,,Dəmir maşınlar,245,Supertoys > Kataloq > Oyuncaqlar > Maşınlar və Qatarlar >,,demir-masin-formula-1-418-15,https://www.supertoys.az/demir-masin-formula-1-418-15-dmir-masinlar-35390-39-O.jpg,,,,0,
39246,Dəmir Maşın Mclaren Formula 1 (418-14) ,T39246,043613,63,63,63,0,AZN,55,,Dəmir maşınlar,245,Supertoys > Kataloq > Oyuncaqlar > Maşınlar və Qatarlar >,,demir-masin-mclaren-formula-1-418-14,https://www.supertoys.az/demir-masin-mclaren-formula-1-418-14-dmir-masinlar-35389-39-O.jpg,,,,0,
39245,Pultlu Maşın Bugatti (418-8),T39245,043612,105,105,105,0,AZN,106,,Pultlu maşınlar,246,Supertoys > Kataloq > Oyuncaqlar > Maşınlar və Qatarlar >,,pultlu-masin-bugatti-418-8,https://www.supertoys.az/pultlu-masin-bugatti-418-8-pultlu-masinlar-35388-39-O.jpg,,,,0,
39243,Minecraft Maqnit Bloklar 101 parça,T39243,043527,42,42,42,0,AZN,354,,Digər pazl oyunları,254,Supertoys > Kataloq > Oyuncaqlar > Pazllar >,,minecraft-maqnit-bloklar-101-parca,https://www.supertoys.az/minecraft-maqnit-bloklar-101-parca-digr-pazl-oyunlari-35385-39-O.jpg,,,,0,
39242,Maqnit Pazl (423-6) ,T39242,043488,4.5,4.5,4.5,0,AZN,7,,Digər pazl oyunları,254,Supertoys > Kataloq > Oyuncaqlar > Pazllar >,,maqnit-pazl-423-6,https://www.supertoys.az/maqnit-pazl-423-6-digr-pazl-oyunlari-35384-39-O.jpg,,,,0,
39241,Sonic Fiqur Dəsti (387-119),T39241,043360,9.5,9.5,9.5,0,AZN,87,,Digər Fiqurlar,380,Supertoys > Kataloq > Oyuncaqlar > Fiqurlar >,,sonic-fiqur-desti-387-119,https://www.supertoys.az/sonic-fiqur-desti-387-119-digr-fiqurlar-35382-39-O.jpg,,,,0,
39240,Ninja Tısbağa Fiqur Dəsti (387-22),T39240,043358,12,12,12,0,AZN,196,,Digər Fiqurlar,380,Supertoys > Kataloq > Oyuncaqlar > Fiqurlar >,,ninja-tisbaga-fiqur-desti-387-22,https://www.supertoys.az/ninja-tisbaga-fiqur-desti-387-22-digr-fiqurlar-35381-39-O.jpg,,,,0,
39239,Stvr Mars 6-lı Fiqur Dəsti 387-211,T39239,043338,6.5,6.5,6.5,0,AZN,435,,Digər Fiqurlar,380,Supertoys > Kataloq > Oyuncaqlar > Fiqurlar >,,stvr-mars-6-li-fiqur-desti-387-211,https://www.supertoys.az/stvr-mars-6-li-fiqur-desti-387-211-digr-fiqurlar-35380-39-O.jpg,,,,0,
39238,Harry Potter 6-lı Fiqur Dəsti (387-210),T39238,043337,6.5,6.5,6.5,0,AZN,189,,Digər Fiqurlar,380,Supertoys > Kataloq > Oyuncaqlar > Fiqurlar >,,harry-potter-6-li-fiqur-desti-387-210,https://www.supertoys.az/harry-potter-6-li-fiqur-desti-387-210-digr-fiqurlar-35379-39-O.jpg,,,,0,
